p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,cZxpos,cZy,cZz,time
17.60073,1,17.92952,0,0.9491753,0,0.3147482,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.984609
17.60073,1,17.92952,0,0.9466739,0,0.3221932,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.00461
17.60073,1,17.92952,0,0.9412019,0,0.3378446,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.02461
17.60073,1,17.92952,0,0.9299652,0,0.3676476,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.04461
17.60073,1,17.92952,0,0.9213849,0,0.3886514,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.06461
17.60073,1,17.92952,0,0.9162187,0,0.4006787,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.08461
17.60073,1,17.92952,0,0.913754,0,0.4062681,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.104609
17.60073,1,17.92952,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.124609
17.66269,1,17.87381,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.144609
17.74603,1,17.87824,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.164609
17.82936,1,17.88267,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.184609
17.91256,1,17.88709,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.204609
17.99576,1,17.89151,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.224609
18.16262,1,17.90037,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.244609
18.24582,1,17.90479,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.264609
18.32902,1,17.90922,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.284609
18.41222,1,17.91364,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.304609
18.49542,1,17.91806,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.324609
18.66222,1,17.92692,0,0.9133991,0,0.4070653,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.344609
18.74542,1,17.93141,0,0.9132214,0,0.4074638,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.364609
18.74955,1,17.84806,0,0.9141082,0,0.4054705,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.384609
18.69271,1,17.78701,0,0.9169165,0,0.399079,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.404609
18.63507,1,17.72672,0,0.9195089,0,0.3930693,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.424609
18.51829,1,17.60771,0,0.9227359,0,0.3854328,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.444609
18.45854,1,17.54942,0,0.9262289,0,0.3769618,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.464609
18.39792,1,17.49201,0,0.9289995,0,0.370081,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.484609
18.33653,1,17.43567,0,0.9318774,0,0.3627733,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.50461
18.27405,1,17.38032,0,0.9350077,0,0.3546275,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.52461
18.1447,1,17.27504,0,0.9446881,0,0.3279701,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.54461
18.07788,1,17.22508,0,0.9489002,0,0.3155764,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,5.56461
